x,y,z,id
-33.18664,-26.170238,43.152585,1
-10.17864,-63.710238,28.041585,2
18.11836,75.919762,30.770585,3
12.14336,37.130762,40.003585,4
-14.74364,-66.069238,26.377585,5
13.89236,2.716762,38.399585,6
-53.14964,-51.108238,27.429585,7
43.45136,5.116762,34.885585,8
-7.36364,44.979762,32.810585,9
40.02236,66.140762,30.510585,10
46.12336,-41.464238,33.903585,11
19.50536,14.263762,38.277585,12
10.25636,71.938762,36.603585,13
29.49236,66.915762,38.107585,14
-36.15964,-10.140238,33.832585,15
-55.58364,-25.494238,21.000585,16
69.42036,12.003762,17.849585,17
72.07736,-5.437238,21.057585,18
-40.26464,8.200762,35.649585,19
-56.45464,24.964762,36.601585,20
22.22636,-45.755238,40.000585,21
44.71136,-14.917238,37.489585,22
20.18636,76.478762,32.354585,23
51.45636,-30.322238,37.136585,24
-60.23764,-1.229238,36.716585,25
-23.34564,-57.344238,31.845585,26
13.54136,21.447762,36.780585,27
15.27636,39.185762,41.740585,28
-24.14164,-50.448238,35.714585,29
-42.67264,-46.577238,38.845585,30
22.87036,66.721762,35.611585,31
-22.54964,-17.670238,38.748585,32
33.40636,-31.081238,36.419585,33
3.76336,-15.208238,39.368585,34
20.69436,-34.073238,40.573585,35
-43.65064,24.417762,37.093585,36
-3.16464,11.355762,37.900585,37
-56.19764,19.362762,38.972585,38
-2.22364,-45.305238,31.016585,39
26.82636,43.967762,39.129585,40
30.66236,51.468762,33.776585,41
-28.25664,1.892762,37.205585,42
47.36036,23.410762,36.683585,43
-36.77064,-46.911238,24.572585,44
-70.96864,5.794762,33.918585,45
59.91136,59.665762,30.243585,46
-67.97264,7.291762,33.907585,47
-29.23564,13.841762,36.394585,48
33.39336,-14.634238,40.319585,49
78.81536,18.773762,24.804585,50
-24.07964,35.003762,35.277585,51
49.86336,36.057762,23.101585,52
53.76836,20.902762,18.340585,53
-7.71164,-59.531238,35.407585,54
-13.04864,18.854762,32.040585,55
-25.68564,-6.161238,39.454585,56
26.33836,44.020762,43.419585,57
-33.18464,-14.392238,41.238585,58
42.43636,-44.206238,31.659585,59
-3.88364,-42.528238,40.642585,60
24.33836,77.225762,35.334585,61
-1.54664,1.156762,35.369585,62
-85.14064,7.561762,26.019585,63
18.95736,-60.685238,27.067585,64
54.82536,37.579762,19.107585,65
44.78336,-19.401238,37.892585,66
50.23936,-15.369238,37.853585,67
33.18036,-47.420238,25.673585,68
-77.29464,48.005762,24.378585,69
-33.11064,35.713762,39.475585,70
-14.76264,59.512762,33.490585,71
2.97136,-52.788238,32.866585,72
-49.84864,-34.768238,39.398585,73
27.30436,-52.064238,34.081585,74
-24.21864,-33.014238,39.867585,75
-2.48564,69.511762,29.413585,76
-29.37364,-30.946238,34.774585,77
42.36536,-16.154238,37.231585,78
31.83036,-17.155238,36.984585,79
26.84236,-41.655238,42.546585,80
-21.55064,7.943762,38.099585,81
55.68036,42.398762,12.952585,82
41.80736,3.312762,35.535585,83
-4.34064,-49.663238,33.002585,84
-35.48264,41.635762,38.434585,85
39.51936,-69.614238,28.768585,86
28.99736,-2.461238,39.425585,87
-29.02364,-10.935238,34.746585,88
50.18436,75.442762,21.435585,89
-30.83564,32.476762,38.402585,90
-0.29464,68.041762,33.249585,91
22.48236,15.613762,35.645585,92
9.17236,-11.838238,39.204585,93
20.64536,73.291762,28.627585,94
-1.79864,-51.943238,33.475585,95
52.08836,-46.688238,36.384585,96
-31.95964,24.382762,39.014585,97
11.25136,0.016762,37.995585,98
46.83936,-44.782238,34.153585,99
42.41036,-23.164238,40.646585,100
-76.75564,-36.214238,16.031585,101
-6.07264,65.271762,35.879585,102
36.85836,-6.856238,35.909585,103
8.71536,59.077762,36.827585,104
34.92036,-34.180238,39.142585,105
-75.72364,36.482762,18.538585,106
-28.72664,51.847762,36.180585,107
30.98836,-71.315238,24.333585,108
51.88236,-20.635238,37.018585,109
-21.90764,-36.423238,36.111585,110
-33.63764,-17.515238,36.543585,111
-4.62164,-24.671238,38.274585,112
-68.21564,26.100762,28.096585,113
46.82336,44.084762,21.015585,114
-37.55864,-13.587238,35.289585,115
6.19036,0.867762,39.719585,116
31.04136,49.910762,37.718585,117
2.38936,-11.858238,39.068585,118
-23.15464,1.854762,38.327585,119
11.61836,-1.358238,38.989585,120
-6.84264,42.583762,40.004585,121
-19.26664,14.309762,37.994585,122
-5.88264,17.328762,36.509585,123
-7.89864,-46.751238,38.679585,124
41.78636,55.302762,26.603585,125
-13.55064,6.022762,39.002585,126
-35.09064,-65.913238,29.498585,127
71.34136,-0.288238,16.660585,128
-16.86764,-49.403238,29.733585,129
