x,y,z,id,height
625474.77,6103287.65,841.51,135,20.0699975586
625198.67,6103334,834.55,136,26.4599731445
625367.85,6103150.58,843.62,137,24.419987793
625173.55,6103328.55,831.78,138,28.1200268555
625435.31,6103093.53,840.45,139,29.9100219727
625279.66,6103335,841.99,140,27.1499731445
625327.24,6103358.01,840.9,141,24.0500244141
625189.37,6103424.76,827.95,142,21.7399780273
625109.81,6103287.23,827.86,143,30.4799951172
625419.66,6103355.3,846.67,144,26.2000292969
625394.36,6103299.49,846.97,145,26.6000048828
625501.08,6103340.54,846.82,146,25.9799731445
625229.72,6103406.02,829.03,147,19.9900219727
625343.57,6103245.74,842.15,148,25.4700073242
625331.99,6103158.78,843.34,149,24.3199804688
625464.87,6103196.17,844.56,150,29.2899804688
625391.22,6103395.82,843.73,151,25.5600170898
625481.67,6103166.46,836.83,152,26.7300244141
625222.14,6103468.96,833.3,153,26.3900268555
625326.34,6103454.42,839.32,154,25.8500292969
625302.18,6103268.65,841.88,155,27.8599804688
625239.42,6103485.16,835.13,156,27.179987793
625531.38,6103187.33,833.69,157,30.3599829102
625551.01,6103271.13,844.49,158,27.4699804688
625269.3,6103340.09,839.23,159,25.2500195313
625416.07,6103169.98,844.17,160,27.3000048828
625373.48,6103268.32,848.12,161,28.7700244141
625393.73,6103277.38,846.25,162,25.5200195313
625369.16,6103334.57,846.25,163,27.3499755859
625309.58,6103322.78,841.56,164,25.9400048828
625441.59,6103338.09,849.07,165,27.7000048828
625195.99,6103254.92,837.89,166,30.8799902344
625344.93,6103237.87,842.26,167,25.2200219727
625475,6103262.01,845.85,168,27.4400268555
625451.69,6103414.23,842.45,169,26.0499755859
625499.71,6103142.71,833.28,170,27.03
625217.57,6103215.15,837.08,171,24.2700024414
625417.01,6103238.71,848.41,172,27.3000146484
625436.49,6103395.83,845.01,173,26.8400170898
625296,6103394.46,839.82,174,26.1899951172
625562.44,6103224.62,840.11,175,28.159987793
625560.57,6103262.47,843.56,176,27.9799829102
625276.01,6103189.87,843.68,177,26.6099926758
625307.4,6103236.52,840.89,178,25.9200292969
625358.94,6103195.64,842.1,179,23.3199707031
625215.72,6103195.1,838.28,180,24.6100170898
625465.35,6103232.95,843.42,181,25.9599780273
625383.66,6103293.57,846.67,182,26.7000292969
625420.52,6103407.26,843.77,183,25.6100268555
625521.83,6103337.67,846.83,184,26.6500073242
625349.58,6103377.09,837.87,185,20.9000292969
625368.01,6103382.69,844.26,186,26.6600244141
625208.18,6103438.45,833.65,187,26.3899902344
625240.19,6103378.89,835.26,188,24.3400170898
625474.03,6103183.45,842.12,189,28.8599902344
625400.31,6103207.54,843.64,190,23.7399755859
625256.74,6103423.11,834.19,191,23.6699804688
625441.66,6103378.26,843.8,192,25.05
625220.28,6103411.54,833.95,193,25.7900268555
625344.46,6103451.49,839.47,194,25.2300097656
625490.54,6103206.77,836.12,195,26.4099780273
625453.39,6103139.64,840.8,196,29.1300170898
625294.09,6103231.42,839.58,197,25.2900219727
625217.24,6103197.44,839.52,198,25.8500170898
625599.18,6103295.33,840.34,199,26.540012207
625388.42,6103342.03,843.83,200,23.7999707031
625444.79,6103370.84,842.44,201,23.1300024414
625276.61,6103235.34,841.68,202,28.5700146484
625384.44,6103436.73,839.92,203,23.370012207
625265.1,6103389.15,834.22,204,22.3100268555
625572.33,6103336.53,842.31,205,27.7199731445
625266.41,6103308.07,839.8,206,27.250012207
625244.25,6103214.89,839.67,207,25.5799731445
625234.96,6103188.59,836.78,208,21.3700268555
625406.12,6103342.82,847.32,209,26.6500170898
625394.34,6103326.62,846.76,210,26.4199731445
625266.44,6103417.95,836.84,211,25.889987793
625294.95,6103299.51,841.55,212,27.6099975586
625199.82,6103440.43,831.47,213,25.019987793
625353.71,6103126.54,844.67,214,24.9500292969
625317.67,6103182.53,845.77,215,28.4100146484
625319.16,6103234.63,843.97,216,27.9800097656
625246,6103387.71,837.13,217,26.1500195313
625176.71,6103336.39,833.65,218,27.7099975586
625428.29,6103370.1,845.15,219,25.4999755859
625259.47,6103369.06,839.96,220,27.5799951172
625148.81,6103321.8,830.7,221,30.8699829102
625275.23,6103388.52,836.43,222,23.7500073242
625276.51,6103149.95,846.76,223,27.0499780273
625283.72,6103428.19,838.2,224,26.0400268555
625453.72,6103105.95,840.72,225,29.0500170898
625376.49,6103405.39,841.82,226,24.6899951172
625467.29,6103171.12,840.6,227,29.8399902344
625311.6,6103468.73,839.99,228,26.9799902344
625205.25,6103396.43,832.74,229,24.3300268555
625514.01,6103329.55,841.23,230,19.9900097656
625292.71,6103160.98,844.65,231,25.5599731445
625532.28,6103236.31,840.83,232,25.2399731445
625124.31,6103280.36,825.99,233,28.1400244141
625340.33,6103350.99,845.4,234,27.7300170898
625308.83,6103343.99,842.03,235,26.0899975586
625161.45,6103312.79,827.52,236,28.069987793
625369.79,6103156.99,842.63,237,23.2299755859
625139.87,6103312.61,827.62,238,29.7899829102
625551.45,6103216.11,840.35,239,29.8299804688
625288.68,6103399.97,834.3,240,21.4799926758
625177.9,6103278.59,831.41,241,28.6200219727
625150.65,6103326.67,829.4,242,28.4100097656
625250.58,6103325.12,840.08,243,27.4600048828
625479.73,6103342.48,846.04,244,25.2500219727
625431.09,6103180.32,843.31,245,27.7199731445
625204.23,6103194.39,837.02,246,23.8899951172
625543.16,6103256.35,842.29,247,25.6100073242
