x,y,z,id,height
428474.01,5427379.42,372.7,1,2.4200012207
428416.59,5427467.6,376.93,2,2.729987793
428399.91,5427423.82,377.61,3,2.61
428388.16,5427363.02,375.51,4,1.4699914551
428403.29,5427338.07,375.33,5,1.5099926758
428459.04,5427526.39,372.31,6,2.2000146484
428498.41,5427341.27,372.37,7,1.8999987793
428438.99,5427299.29,376.08,8,2.0099926758
428501.33,5427388,371.75,9,2.3900146484
428433.86,5427383.46,376.38,10,2.4099987793
428450.4,5427279.12,376.07,11,1.6700061035
428405.4,5427311.62,375.38,12,1.7099865723
428461.93,5427371.59,374.57,13,2.5899890137
428474.51,5427520.58,372.23,14,2.9099926758
428459.99,5427421.92,375.87,15,2.0900012207
428384.72,5427381.02,375.93,16,1.9899975586
428459.21,5427330.97,373.54,17,0.5999975586
428487.25,5427378.09,371.57,18,1.9299853516
428405.57,5427528.74,371.18,19,1.3500134277
428470.07,5427369.85,373.01,20,2.1199853516
428402.33,5427517.52,372.73,21,2.1899914551
428457.65,5427275.06,376.24,22,1.8100073242
428378.17,5427270.92,375.6,23,2.0599914551
428472.76,5427279.9,376.55,24,2.6599853516
428387.07,5427372,375.36,25,1.4300073242
428499.71,5427491.13,373.55,26,2.1099975586
428389.95,5427480.93,376.39,27,2.9099890137
428401.56,5427481.93,376.4,28,2.65
428486.12,5427266.44,376.11,29,1.909987793
428470.13,5427338.79,374.19,30,2.2600073242
428411.38,5427460.48,376.8,31,2.3799865723
428450.83,5427297.83,376.39,32,2.8799902344
428479.35,5427309.93,375.61,33,2.7899926758
428391.61,5427428.02,376.5,34,1.6300048828
428492.8,5427270.65,376.05,35,2.3199890137
428395.4,5427410.38,376.93,36,1.979987793
428415.91,5427346.05,375.69,37,1.7099890137
428456.51,5427437.62,376.43,38,3.2200085449
428475.97,5427399.32,373.25,39,2.3699951172
428505.98,5427510.42,370.49,40,2.2800085449
428465.72,5427400.91,375.06,41,3.0799890137
428376.83,5427523.56,372.11,42,2.0300134277
428443.41,5427293.26,376.33,43,2.1599865723
428376.08,5427427.92,376.96,44,2.1900109863
428508.79,5427325.33,372.2,45,1.5699951172
428390.93,5427437.26,376.93,46,2.4700085449
428429.65,5427421.09,376.84,47,1.6199987793
428474.52,5427431,374.22,48,2.0700061035
428445.04,5427279.97,375.17,49,0.5299853516
428488.75,5427473.23,374.86,50,2.2400048828
428380,5427526.1,371.06,51,0.9899926758
428379.39,5427321.66,376.38,52,1.9399975586
428389.24,5427341.1,375.55,53,1.4900024414
428411.32,5427499.09,375.55,54,2.6800048828
428389.94,5427422.86,376.25,55,1.1799926758
428496.76,5427502.96,372.83,56,2.6599865723
428431.16,5427367.9,376.52,57,2.1500048828
428501.35,5427453.51,373.18,58,2.6200024414
428410.43,5427282.44,375.35,59,1.7000061035
428448.47,5427311.1,375.83,60,2.530012207
428503.48,5427483.37,373.22,61,1.8500048828
428423.16,5427517.8,373.17,62,1.7700061035
428415.85,5427396.63,376.41,63,1.8699914551
428376.05,5427508.45,372.97,64,1.7000109863
428457.86,5427294.12,376.89,65,3.0800024414
428390.52,5427338.58,376.46,66,2.2999963379
428491.21,5427328.76,373.21,67,2.3400048828
428502.74,5427352.98,371.73,68,1.8600048828
428428.06,5427337.93,375.59,69,1.9499853516
428430.17,5427397.48,376.04,70,1.2799902344
428443.65,5427264.91,375.53,71,1.5000012207
428508.12,5427287.14,375.79,72,3.2700109863
428449.1,5427437.39,376.63,73,1.830012207
428490.44,5427403.59,372,74,2.5
428437.6,5427422.66,377.42,75,2.7299975586
428478.87,5427475.52,375.09,76,1.7399938965
428399.9,5427540.39,378.09,77,10.639987793
428472.51,5427497.3,374.24,78,2.690012207
428490.6,5427401.37,371.91,79,2.6300012207
428398.59,5427267.24,374.08,80,1.1800061035
428401.2,5427396.38,376.17,81,1.4900073242
428382.01,5427474.73,376.97,82,2.420012207
428456.49,5427266.03,375.34,83,1.1099890137
428503.86,5427386.94,370.46,84,1.3500146484
428484.13,5427272.03,376.66,85,3.0700036621
428473.53,5427371.9,372.49,86,1.9100134277
428497.69,5427480.94,373.45,87,1.650012207
428494.78,5427327.81,373.17,88,2.0399951172
428499.78,5427513.34,370.56,89,1.5700097656
428426.28,5427298.42,375.37,90,1.3800097656
428390.87,5427289.63,376.09,91,1.9199865723
428380.58,5427325.62,375.91,92,1.6300012207
428375.33,5427366.68,375.35,93,1.3900085449
428473.55,5427332.24,373.72,94,2.7499987793
428474.16,5427284.42,375.71,95,1.4499902344
428491.32,5427379.43,370.75,96,1.25
428477.57,5427348.12,372.6,97,1.4999938965
428509.31,5427334.87,371.89,98,1.8600012207
428493.54,5427497.17,373.39,99,2.64
428376.32,5427476.06,377.12,100,2.5199938965
428413.94,5427279.23,375.07,101,1.5299914551
428398.58,5427344.35,375.63,102,1.8600109863
428445.04,5427563.58,370.03,103,1.4700024414
428384.16,5427471.84,376.35,104,1.5899902344
428453.42,5427329.17,374.56,105,1.260012207
428494.28,5427307.15,375.32,106,3.5400012207
428492.73,5427534.13,368.87,107,1.2900134277
428376.44,5427363.28,375.75,108,2.3299865723
428438.18,5427486.05,376.4,109,2.15
428484.51,5427446.63,373.83,110,3.0500012207
428401.68,5427323.73,375.76,111,2.3399865723
428508.18,5427400.35,370.97,112,2.269987793
428501.54,5427485.86,373.55,113,2.0900085449
428470.37,5427324.14,374.65,114,2.4899963379
428388.02,5427428.45,376.27,115,1.2599902344
428492.64,5427529.88,370.56,116,3.0799890137
428443.52,5427510.68,374.03,117,2.4500134277
428441.75,5427398.54,376.7,118,3.1800109863
428412.3,5427293.41,375.29,119,2.0299902344
428485.84,5427465.2,374.73,120,2.5099987793
428426.6,5427259.99,373.73,121,0.4999890137
428442.57,5427312.8,375.3,122,1.4199951172
428436.72,5427319.41,375.48,123,1.7100109863
428433.58,5427556.79,388.55,124,27.1399963379
428467.2,5427349.11,374.14,125,2.0099951172
428461.51,5427336.57,374.42,126,1.7400073242
428484.71,5427525.8,370.82,127,2.5599902344
428403.25,5427354.02,375.16,128,1.3800012207
428460.1,5427485.57,375.91,129,2.0899926758
428419.7,5427274.4,375.14,130,2.0800024414
428376.37,5427385.15,376.53,131,2.329987793
428380.37,5427351.72,375.79,132,1.8499975586
428476.27,5427331.6,373.19,133,1.4100012207
428467.35,5427370.67,374.05,134,2.7100036621
428430.5,5427447.78,377.26,135,2.9699914551
428421.05,5427493.47,375.71,136,1.8899926758
428472.67,5427469.51,375.73,137,2.3399853516
428381.67,5427367.62,375.71,138,1.6399926758
428384.69,5427428.99,376.67,139,1.5999926758
428441,5427459.91,377.08,140,1.9600048828
428434.51,5427291.5,375.83,141,2.1399975586
428481.8,5427303.64,375.36,142,2.1200097656
428381.63,5427493.11,374.95,143,2.1599914551
428432.9,5427483.77,377.08,144,2.4099865723
428507.03,5427385.95,370.74,145,1.539987793
428442.55,5427430.08,377.07,146,2.2900012207
428449.62,5427518.8,373.24,147,2.9300024414
428511.35,5427324.33,372.42,148,1.7599963379
428397.87,5427438.38,377.19,149,2.3800024414
428469.87,5427510.77,373.42,150,2.8799914551
428446.3,5427565.08,369.67,151,0.870012207
428451.82,5427308.77,376.2,152,2.3000061035
428440.76,5427265.73,375.77,153,1.7899890137
428511.42,5427318.04,372.62,154,1.4799853516
428491.72,5427342.04,372.57,155,2.0899890137
428477.47,5427509.22,372.84,156,2.790012207
428437.04,5427281.04,375.42,157,1.2400073242
428393.18,5427381.23,375.79,158,2.0800085449
428374.23,5427426.3,375.43,159,0.6699902344
428506.42,5427325.47,372.66,160,1.7499963379
428391.76,5427281.23,376.08,161,2.2400036621
428481.89,5427265.17,376.55,162,2.3899963379
428486.22,5427528.88,370.07,163,1.9999926758
428470.68,5427415.29,373.92,164,2.5500048828
428441.3,5427481.9,377.09,165,2.0000036621
428435.72,5427546.3,376.55,166,7.6200073242
428382.42,5427458.06,376.39,167,1.7299963379
428444.63,5427324.36,376.08,168,2.6800061035
428461.57,5427322.67,375.03,169,2.079987793
428415.8,5427393.67,376.29,170,2.1700048828
428378.29,5427379.23,376.47,171,2.3800036621
428389.51,5427429.24,376.26,172,1.2300012207
428402.09,5427340.59,375.06,173,1.0700097656
428506.44,5427531.67,369.79,174,4.0699987793
428412.99,5427394.38,376.1,175,1.5200134277
428384.15,5427461.43,376.56,176,2.2099938965
428439.55,5427365.91,376.15,177,2.1300109863
428459.6,5427374.7,374.48,178,1.8099865723
428463.47,5427396.17,374.81,179,2.109987793
428444.29,5427485.76,376.48,180,2.0899853516
428498.57,5427285.78,375.1,181,1.9099975586
428485.07,5427462.58,374.33,182,2.0699902344
428487.44,5427439.06,373.5,183,2.6099853516
428491.11,5427315.51,373.94,184,1.94
428471.4,5427395.05,374.13,185,2.3399914551
428480.04,5427463.37,375.05,186,2.500012207
428454.55,5427369.45,375.82,187,2.9699938965
428462.68,5427542.71,370.23,188,1.0099987793
428425.01,5427493.05,376.05,189,2.2899902344
428392.36,5427332.1,375.71,190,1.6699914551
428466.55,5427264.42,376.19,191,1.7099890137
428505.05,5427358.87,371.19,192,1.390012207
428380.94,5427381.71,376.1,193,1.9999938965
428385.67,5427443.9,376.07,194,1.8000109863
428413.13,5427391.01,376.25,195,1.7900085449
428503.77,5427336.19,372.04,196,1.6800146484
428399.39,5427519.62,371.44,197,1.3300146484
428389.86,5427470.64,376.96,198,2.5399865723
428382.73,5427410.69,376.19,199,1.4699987793
428416.53,5427323.26,375.62,200,1.37
428487.49,5427349.89,371.98,201,1.8000073242
428407.18,5427280.48,375.98,202,2.8000073242
428486.26,5427427.42,372.67,203,2.0200061035
428384.91,5427390.26,376.21,204,2.3599938965
428389.8,5427327.04,376.14,205,2.0300146484
428475.71,5427369.22,372.52,206,3.220012207
428435.52,5427315.26,375.4,207,1.6099914551
428385.64,5427392.97,376.39,208,1.9699865723
428511.07,5427354.39,371.26,209,1.5999963379
428483.84,5427496.45,374.16,210,2.5100061035
428438.18,5427369.69,375.6,211,1.4399963379
428436.38,5427407.81,376.96,212,2.2399987793
428459.8,5427311.32,375.46,213,1.9499902344
428433.41,5427393.22,376.05,214,1.55
428398.93,5427341.43,375.58,215,1.7700024414
428462.27,5427390.39,374.77,216,2.1600146484
428395.6,5427472.07,376.23,217,1.9999890137
428459.27,5427479.51,376.76,218,3.0999963379
428406.81,5427274.31,375.68,219,2.1200024414
428404.89,5427266.71,374.29,220,1.7499914551
428399.25,5427455.42,376.8,221,2.4300048828
428409.17,5427539.54,383.44,222,15.140012207
428392.5,5427410.45,377.09,223,3.1799963379
428400.24,5427418.24,376.96,224,2.2800073242
428503.26,5427377.45,371.15,225,1.7200073242
428436.73,5427313.2,375.71,226,2.46
428421.87,5427392.43,376.58,227,2.4300061035
428455.91,5427372.45,375.09,228,2.139987793
428484.9,5427486.01,374.35,229,2.0700012207
428419.94,5427316.05,375.73,230,1.8700146484
428420.38,5427288.87,375.57,231,1.8799975586
428509.34,5427509.93,370.15,232,1.9599975586
428454.19,5427489.3,376.1,233,1.8900085449
428383.07,5427362,375.83,234,1.8599987793
428455.49,5427322.71,375.36,235,2.4199975586
428489.39,5427418.04,372.36,236,2.6899865723
428457.04,5427388.39,375.44,237,2.8600134277
428391.41,5427389.86,375.55,238,1.2299926758
428497.67,5427530.19,369.31,239,2.1600061035
428405.04,5427464.03,376.32,240,1.4600146484
428412.12,5427515.04,373.18,241,1.7599865723
428488.98,5427268.41,376.36,242,3.0399926758
428454.41,5427435.41,376.79,243,2.4399938965
428493.62,5427461.02,373.23,244,1.2700085449
428454.26,5427353.97,375.65,245,2.5600036621
428479.68,5427499.55,373.53,246,2.4100048828
428488.77,5427370.12,371.47,247,1.9599902344
428403.14,5427319.05,376.28,248,3.3599865723
428508.38,5427517.38,368.89,249,1.6100012207
428453.97,5427348.7,375.63,250,2.8900097656
428482.03,5427438.34,374.27,251,3.2400012207
428493.53,5427444.69,373.23,252,2.5099987793
428459.73,5427325.13,374.88,253,2.0700024414
428388.92,5427258.31,373.6,254,1.2400146484
428496.35,5427371.89,371.76,255,2.2400109863
428394.7,5427445.39,376.27,256,1.5399890137
428461.46,5427431.86,375.59,257,1.9899938965
428484.17,5427504.14,372.38,258,1.7700146484
428465.79,5427327.13,374.01,259,1.1599938965
428371.88,5427505.81,373.04,260,1.9200048828
428428.87,5427443.51,376.81,261,1.7300134277
428422.79,5427467.22,376.95,262,2.5200073242
428485.6,5427363.74,371.72,263,2.3900134277
428442.13,5427368.73,375.9,264,1.6300109863
428392.38,5427472.02,376.37,265,1.9100085449
428395,5427330.76,376.12,266,2.0300036621
428415.94,5427509.86,373.3,267,1.3599975586
428378.01,5427448.86,376.48,268,1.9600109863
428454.82,5427492.01,376.33,269,2.4099865723
428427.15,5427332.12,374.95,270,1.1100036621
428389.27,5427385.98,375.75,271,1.5700073242
428440.84,5427286.02,376.45,272,2.7799865723
428479.43,5427371.59,371.61,273,2.159987793
428387.79,5427380.09,375.78,274,1.7399914551
428478.07,5427274.06,376.37,275,2.1000109863
428413.55,5427383.95,375.94,276,1.6300024414
428423.43,5427337.2,375.63,277,1.8500012207
428500.55,5427477.8,373.28,278,1.6099865723
428372.48,5427525.29,371.58,279,1.9700146484
428465.96,5427274.02,376.22,280,1.6100146484
428400.71,5427314.15,375.71,281,2.2500085449
428491.57,5427527.23,369.95,282,2.3900024414
428382.52,5427323.33,376,283,1.6300048828
428461.78,5427296.1,376.19,284,2.1199926758
428450,5427359.3,375.86,285,2.2299951172
428397.67,5427502.81,374.54,286,2.1800146484
428392.81,5427489.95,375.49,287,2.3800146484
428506.39,5427293.27,375.07,288,1.8600085449
428390.38,5427356.74,375.62,289,1.6000109863
428409.11,5427532.53,371.31,290,2.010012207
428442.23,5427453.86,377.02,291,1.7400012207
428439.51,5427268.89,375.89,292,1.840012207
428414.74,5427292.33,375.57,293,2.1100085449
428491.27,5427262.88,375.37,294,1.0100146484
428374.6,5427461.6,376.74,295,2.1200048828
428380.67,5427270,375.39,296,1.939987793
